,Symbol,Order,Shares
2011-09-07,IBM,SELL,2000
2011-09-08,IBM,,0
2011-09-09,IBM,BUY,2000
2011-09-12,IBM,,0
2011-09-13,IBM,,0
2011-09-14,IBM,,0
2011-09-15,IBM,,0
2011-09-16,IBM,,0
2011-09-19,IBM,,0
2011-09-20,IBM,SELL,2000
2011-09-21,IBM,,0
2011-09-22,IBM,BUY,2000
2011-09-23,IBM,,0
2011-09-26,IBM,,0
2011-09-27,IBM,SELL,2000
2011-09-28,IBM,BUY,2000
2011-09-29,IBM,SELL,2000
2011-09-30,IBM,,0
2011-10-03,IBM,BUY,2000
2011-10-04,IBM,,0
2011-10-05,IBM,,0
2011-10-06,IBM,,0
2011-10-07,IBM,,0
2011-10-10,IBM,SELL,2000
2011-10-11,IBM,BUY,2000
2011-10-12,IBM,,0
2011-10-13,IBM,,0
2011-10-14,IBM,SELL,2000
2011-10-17,IBM,,0
2011-10-18,IBM,,0
2011-10-19,IBM,,0
2011-10-20,IBM,BUY,2000
2011-10-21,IBM,,0
2011-10-24,IBM,SELL,2000
2011-10-25,IBM,BUY,2000
2011-10-26,IBM,,0
2011-10-27,IBM,,0
2011-10-28,IBM,SELL,2000
2011-10-31,IBM,,0
2011-11-01,IBM,BUY,2000
2011-11-02,IBM,,0
2011-11-03,IBM,SELL,2000
2011-11-04,IBM,BUY,2000
2011-11-07,IBM,,0
2011-11-08,IBM,SELL,2000
2011-11-09,IBM,BUY,2000
2011-11-10,IBM,,0
2011-11-11,IBM,SELL,2000
2011-11-14,IBM,BUY,2000
2011-11-15,IBM,SELL,2000
2011-11-16,IBM,,0
2011-11-17,IBM,,0
2011-11-18,IBM,,0
2011-11-21,IBM,,0
2011-11-22,IBM,,0
2011-11-23,IBM,,0
2011-11-25,IBM,BUY,2000
2011-11-28,IBM,SELL,2000
2011-11-29,IBM,BUY,2000
2011-11-30,IBM,,0
2011-12-01,IBM,,0
2011-12-02,IBM,,0
2011-12-05,IBM,,0
2011-12-06,IBM,,0
2011-12-07,IBM,SELL,2000
2011-12-08,IBM,BUY,2000
2011-12-09,IBM,SELL,2000
2011-12-12,IBM,,0
2011-12-13,IBM,,0
2011-12-14,IBM,,0
2011-12-15,IBM,,0
2011-12-16,IBM,,0
2011-12-19,IBM,BUY,2000
2011-12-20,IBM,SELL,2000
2011-12-21,IBM,BUY,2000
2011-12-22,IBM,,0
2011-12-23,IBM,,0
2011-12-27,IBM,SELL,2000
2011-12-28,IBM,BUY,2000
2011-12-29,IBM,SELL,2000
2011-12-30,IBM,HOLD,0
